Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0960	12	SC091	WAT	"Dalrymple Jn – Chalmerston (Goods
Line)"	43	53	52	70	N	N	N	N	N	N	N	
Scotland	0960	13	SC093	SCM1	Motherwell – Mossend South	89	51	91	08	N	N	N	Y	Y	Y	Y	
Scotland	0960	14	SC093	SCM2	Mossend South – Whifflet North Jn	91	08	94	05	N	N	N	Y	Y	Y	Y	
Scotland	0960	15	SC093	SCM3	"Whifflet North Jn – Gartsherrie South Jn
(Limit of OLE)"	94	05	95	64	N	N	N	Y	Y	Y	Y	
Scotland	0960	16	SC093	SCM3	"Gartsherrie South Jn (Limit of OLE) –
Greenhill Lower Jn"	95	64	106	63	N	N	N	Y	Y	Y	Y	
Scotland	0960	17	SC097	SYE	"Whifflet South Jn – Sunnyside Jn (Goods
Line)"	9	63	8	43	N	N	N	R1	R1	R1	E	R115mph maximum speed
Scotland	0960	18	SC099	RSL2	Whifflet North Jn – Change of ELR	0	00	0	34	N	N	N	Y	Y	Y	Y	
Scotland	0960	19	SC099	RSL1	Change of ELR – Langloan Jn	6	59	6	34	N	N	N	Y	Y	Y	Y	
Scotland	0960	20	SC099	RCB	Langloan Jn – Rutherglen East Jn	6	34	0	04	N	N	N	Y	Y	Y	Y	
Scotland	0960	21	SC101	RCB	Coatbridge Jn – Langloan Jn	7	03	6	34	N	N	N	Y	Y	Y	Y	
Scotland	0960	22	SC103	CBD1	Garnqueen North Jn – Gartcosh Jn	1	33	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0960	23	SC103	CBD2	Gartcosh Jn – Change of ELR	97	09	103	41	N	N	N	Y	Y	Y	Y	
Scotland	0960	24	SC103	SGN	Change of ELR – Cowlairs West Jn	0	61	-0	20	N	N	N	Y	Y	Y	Y	
Scotland	0960	25	SC105	GHE	Gartsherrie South Jn – Gartcosh Jn	95	64	97	06	N	N	N	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0961	1	SC106	PNS	"Sighthill West Jn – Cowlairs South Jn
(Chord Line)"	0	30	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0961	2	SC107	ECM9	"Waverley East End – Edinburgh
Waverley"	0	21	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0961	3	SC107	EGM4	"Edinburgh Waverley – Waverley West
End (South Lines)"	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0961	4	SC107	ECN1	"Edinburgh Waverley – Waverley West
End (North Lines)"	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0961	5	SC107	EGM3	"Waverley West End – Haymarket (South
Lines)"	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0961	6	SC107	ECN2	"Waverley West End – Haymarket (North
Lines)"	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0961	7	SC107	EGM2	"Haymarket – Haymarket East Jn (South
Lines)"	46	02	45	72	N	N	N	Y	Y	Y	Y	
Scotland	0961	8	SC107	ECN2	"Haymarket – Haymarket East Jn (North
Lines)"	1	19	1	29	N	N	N	Y	Y	Y	Y	
Scotland	0961	9	SC107	EGM2	"Haymarket East Jn – Haymarket Central
Jn (South Lines)"	45	72	45	35	N	N	N	Y	Y	Y	Y	
Scotland	0961	10	SC107	ECN2	"Haymarket East Jn – Haymarket Central
Jn (North Lines)"	1	29	1	66	N	N	N	Y	Y	Y	Y	
Scotland	0961	11	SC107	EGM2	"Haymarket Central Jn – Haymarket West
Jn (South Lines)"	45	35	44	73	N	N	N	Y	Y	Y	Y	
Scotland	0961	12	SC107	ECN2	"Haymarket Central Jn – Haymarket West
Jn (North Lines)"	1	66	2	41	N	N	N	Y	Y	Y	Y	
Scotland	0961	13	SC107	EGM1	Haymarket West Jn – Cowlairs West Jn	44	73	1	67	N	N	N	Y	Y	Y	Y	
Scotland	0961	14	SC107	EGM1	"Cowlairs West Jn – Glasgow Queen
Street"	1	67	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0961	15	SC109	PMT	Polmont Jn – Grangemouth Jn	21	20	23	75	N	N	N	Y	Y	Y	Y	
Scotland	0961	16	SC109	PMT	Grangemouth Jn – Carmuirs East Jn	23	75	25	79	N	N	N	Y	Y	Y	Y	
Scotland	0961	17	SC109	CMS	Carmuirs East Jn – Carmuirs West Jn	0	40	-0	2	N	N	N	Y	Y	Y	Y	
Scotland	0961	18	SC109	SCM3	Carmuirs West Jn – Greenhill Lower Jn	108	74	106	62	N	N	N	Y	Y	Y	Y	
Scotland	0961	19	SC109	GHL	Greenhill Lower Jn – Greenhill Upper Jn	0	52	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0961	20	SC110	PMT	Carmuirs East Jn – Larbert Jn	25	79	26	35	N	N	N	Y	Y	Y	Y	
Scotland	0961	21	SC111	NBE	Newbridge Jn – Bathgate	35	21	25	18	N	N	N	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0962	1	SC113	DMY	Winchburgh Jn – Dalmeny Jn	34	54	39	03	N	N	N	Y	Y	Y	Y	
Scotland	0962	2	SC115	MRL1	Cowlairs West Jn – Maryhill Park Jn	8	26	5	51	N	N	N	Y	Y	Y	Y	
Scotland	0962	3	SC115	MRL2	Maryhill Park Jn – Knightswood North Jn	4	40	5	67	N	N	N	Y	Y	Y	Y	
Scotland	0962	4	SC1150	MLA	Maryhill Park Jn – Anniesland	0	00	0	70	N	N	N	Y	N	Y	Y	
Scotland	0962	5	SC116	CSN	Cowlairs East Jn – Cowlairs North Jn	0	00	0	21	N	N	N	Y	Y	Y	Y	
Scotland	0962	6	SC117	GMH	Grangemouth Jn – Grangemouth	0	00	3	67	N	N	N	"R1
R2"	N	R2	R2	"R1Route prohibited to Classes 150/0, 150/2
and 15/09
R2Prohibited except for the purpose of
setting back behind Signals ECL290 or
ECL292"
Scotland	0962	7	SC119	GHL	Greenhill Upper Jn – Greenhill Lower Jn	0	00	0	52	N	N	N	Y	Y	Y	Y	
Scotland	0962	8	SC119	SCM3	Greenhill Lower Jn – Carmuirs West Jn	106	62	108	74	N	N	N	Y	Y	Y	Y	
Scotland	0962	9	SC119	SCM3	Carmuirs West Jn – Stirling Middle Jn	108	76	118	08	N	N	N	Y	Y	Y	Y	
Scotland	0962	10	SC119	SCM3	"Stirling Middle Jn – Change of ELR
(Dunblane)"	118	08	123	40	N	N	N	Y	Y	Y	Y	
Scotland	0962	11	SC119	SCM4	"Change of ELR (Dunblane) – Perth
South Jn"	123	40	150	61	N	N	N	Y	Y	Y	Y	
Scotland	0962	12	SC119	SCM5	Perth South Jn – Change of Mileage	150	61	151	03	N	N	N	Y	Y	Y	Y	
Scotland	0962	13	SC119	SCM5	Change of Mileage – Dundee Central Jn	21	01	0	36	N	N	N	Y	Y	Y	Y	
Scotland	0962	14	SC119	ECN2	Dundee Central Jn – Dundee	58	69	59	14	N	N	N	Y	Y	Y	Y	
Scotland	0962	15	SC123	NBE	Bathgate – Change of ELR	25	18	25	00	N	N	N	Y	N	Y	Y	
Scotland	0962	16	SC123	NEM1	Change of ELR – Drumgelloch	25	00	11	70	N	N	N	Y	N	Y	Y	
Scotland	0962	17	SC123	NEM1	Drumgelloch – Change of ELR	11	70	11	60	N	N	N	Y	N	Y	Y	
